"transp_tech","resource","season","zone","value"
"pipe_gas","cold_primary_feed","sum","tech",0.00
"pipe_gas","cold_primary_feed","shoulder","tech",0.00
"pipe_gas","cold_primary_return","wint","dormitories",0.00
"pipe_gas","cold_primary_return","sum","dormitories",0.00
"pipe_gas","cold_primary_return","shoulder","dormitories",0.00
"pipe_gas","cold_primary_return","wint","energyIsland",0.00
"pipe_gas","cold_primary_return","sum","energyIsland",0.00
"pipe_gas","cold_primary_return","shoulder","energyIsland",0.00
"pipe_gas","cold_primary_return","wint","factory",0.00
"pipe_gas","cold_primary_return","sum","factory",0.00
"pipe_gas","cold_primary_return","shoulder","factory",0.00
"pipe_gas","cold_primary_return","wint","factory_assembly",0.00
"pipe_gas","cold_primary_return","sum","factory_assembly",0.00
