"process","resource","season","zone","value"
"anaerobicFermentation","butanol","sum","multifunction",0.00
"anaerobicFermentation","butanol","shoulder","multifunction",0.00
"anaerobicFermentation","butanol","wint","northDistrict",0.00
"anaerobicFermentation","butanol","sum","northDistrict",0.00
"anaerobicFermentation","butanol","shoulder","northDistrict",0.00
"anaerobicFermentation","butanol","wint","quality",0.00
"anaerobicFermentation","butanol","sum","quality",0.00
"anaerobicFermentation","butanol","shoulder","quality",0.00
"anaerobicFermentation","butanol","wint","reserved",0.00
"anaerobicFermentation","butanol","sum","reserved",0.00
"anaerobicFermentation","butanol","shoulder","reserved",0.00
"anaerobicFermentation","butanol","wint","residential",0.00
"anaerobicFermentation","butanol","sum","residential",0.00
"anaerobicFermentation","butanol","shoulder","residential",0.00
"anaerobicFermentation","butanol","wint","school",0.00
"anaerobicFermentation","butanol","sum","school",0.00
"anaerobicFermentation","butanol","shoulder","school",0.00
"anaerobicFermentation","butanol","wint","tech",0.00
"anaerobicFermentation","butanol","sum","tech",0.00
"anaerobicFermentation","butanol","shoulder","tech",0.00
"anaerobicFermentation","CNG","wint","dormitories",0.00
"anaerobicFermentation","CNG","sum","dormitories",0.00
"anaerobicFermentation","CNG","shoulder","dormitories",0.00
"anaerobicFermentation","CNG","wint","energyIsland",0.00
"anaerobicFermentation","CNG","sum","energyIsland",0.00
"anaerobicFermentation","CNG","shoulder","energyIsland",0.00
"anaerobicFermentation","CNG","wint","factory",0.00
"anaerobicFermentation","CNG","sum","factory",0.00
"anaerobicFermentation","CNG","shoulder","factory",0.00
"anaerobicFermentation","CNG","wint","factory_assembly",0.00
"anaerobicFermentation","CNG","sum","factory_assembly",0.00
"anaerobicFermentation","CNG","shoulder","factory_assembly",0.00
"anaerobicFermentation","CNG","wint","factory_blades",0.00
"anaerobicFermentation","CNG","sum","factory_blades",0.00
"anaerobicFermentation","CNG","shoulder","factory_blades",0.00
"anaerobicFermentation","CNG","wint","hospital",0.00
"anaerobicFermentation","CNG","sum","hospital",0.00
"anaerobicFermentation","CNG","shoulder","hospital",0.00
"anaerobicFermentation","CNG","wint","multifunction",0.00
"anaerobicFermentation","CNG","sum","multifunction",0.00
"anaerobicFermentation","CNG","shoulder","multifunction",0.00
"anaerobicFermentation","CNG","wint","northDistrict",0.00
"anaerobicFermentation","CNG","sum","northDistrict",0.00
"anaerobicFermentation","CNG","shoulder","northDistrict",0.00
"anaerobicFermentation","CNG","wint","quality",0.00
"anaerobicFermentation","CNG","sum","quality",0.00
"anaerobicFermentation","CNG","shoulder","quality",0.00
"anaerobicFermentation","CNG","wint","reserved",0.00
"anaerobicFermentation","CNG","sum","reserved",0.00
"anaerobicFermentation","CNG","shoulder","reserved",0.00
"anaerobicFermentation","CNG","wint","residential",0.00
"anaerobicFermentation","CNG","sum","residential",0.00
"anaerobicFermentation","CNG","shoulder","residential",0.00
"anaerobicFermentation","CNG","wint","school",0.00
"anaerobicFermentation","CNG","sum","school",0.00
"anaerobicFermentation","CNG","shoulder","school",0.00
"anaerobicFermentation","CNG","wint","tech",0.00
"anaerobicFermentation","CNG","sum","tech",0.00
"anaerobicFermentation","CNG","shoulder","tech",0.00
"anaerobicFermentation","CO2","wint","dormitories",0.00
"anaerobicFermentation","CO2","sum","dormitories",0.00
"anaerobicFermentation","CO2","shoulder","dormitories",0.00
